name,category,price,price_per_kg,amount_kg,is_available,product_menu_url
کود سه بیست اپکس اسپانیا پر هام 10 کیلویی,,2000000,200000.0,10.0,True,
کود مرغی مایع رستان 5 و 20 لیتری | ارسال فوری,,950000,47500.0,20.0,True,
کود کامل (NPK) 10-52-10 وپروفرت 2 10 و 25 کیلویی,,3870000,154800.0,25.0,True,
گلایفوزیت (رانداپ) بهاورشیمی 1 لیتری,,495000,495000.0,1.0,True,
کود سولفات پتاسیم کنجاله ساز 10 کیلو گرمی,,950000,95000.0,10.0,True,
پیت ماس گیلدا مدل اسفاگنوم کد GPM04 حجم 2 لیتر,,145000,72500.0,2.0,True,
کات کبود (سولفات مس)5 کیلو گرم,,1235000,247000.0,5.0,True,
کود هیومیک اسید آوا فرایند وزن 10 کیلوگرم,,1900000,190000.0,10.0,True,
فسفیت پتاسیم زایز 1 لیتری,,1411000,1411000.0,1.0,True,
روغن ولک (روغن امولسیون شونده) کاوش کیمیا کرمان گالن 10 لیتری,,880000,88000.0,10.0,True,
کود تقویت ریشه گل و افزایش حجم و وزن محصول مونو پتاسیم فسفات وپروفرت هلند 2 کیلویی,,825000,412500.0,2.0,True,
کود آلی اوره فسفات (NP) کیلیترین 1 لیتری - 20,,13000000,13000000.0,1.0,True,
کود بر اتانول آمین آگروفر(گالن 20 لیتری),,5250000,262500.0,20.0,True,
گابری گلدن(پلیت کود مرغی غنی شده)25کیلویی,,3970000,158800.0,25.0,True,
کود کامل NPK 5-5-5 با ریز مغذی گرانول وانوما 10 کیلوگرمی,,790000,79000.0,10.0,True,
کود میکرومیکس 25کیلویی آگروفر,,2325000,93000.0,25.0,True,
کود تقویتی NPK10-52-10+ME پودر SOLUNEC سولونک ترکیه 25 کیلوگرم کیسه,,10250000,410000.0,25.0,True,
کود مایع کامل مایع مرغی-20 لیتری,,1000000,50000.0,20.0,True,
گوگرد کلسیمی مایع - کلسیسول گرواستار 1 5 و 20 لیتری,,205000,10250.0,20.0,True,
کود ریشه زایی پودر 105210 حاصلخیز 1 کیلوگرمی با فناوری X-Green,,500000,500000.0,1.0,True,
لیکاپون(پوکه کشاورزی لیکا)2.5 لیتری - متوسط,,40000,8000.0,5.0,True,
کنه کش پروپارژیت 57٪ رازی شیمی 1 لیتری,,890000,890000.0,1.0,True,
کود تقویتی سولفات منیزیم K+S آلمان پودر 25 کیلوگرم کیسه,,1350000,54000.0,25.0,True,
اسید هیومیک مایع پتاس بالا 5 10 20 لیتری - 10,,1300000,65000.0,20.0,True,
12-2-44 آرکا نیترات پتاسیم چینی 10 کیلویی,,2000000,200000.0,10.0,True,
کود تقویتی هیومیک اسید فیلون کی اسپانیا 1 کیلوئی,,1520000,1520000.0,1.0,True,
کود تقویتی سولفات پتاسیم K+S آلمان پودر 25 کیلوگرم کیسه,,4625000,185000.0,25.0,True,
کود مایع گندم و جو فلوریش 5 لیتری (افزایش تناژ),,579000,115800.0,5.0,True,
کود NPK کامل 12-12-36 به همراه عناصر ریزمغذی کلاته شده 10 کیلویی (بسیار با کیفیت),,2167200,216720.0,10.0,True,
مشخصات کلی کود سه بیست فالکون – حجم 10 کیلوگرم نام محصول: کود سه بیست فالکونحجم / وزن: 10 کیلوگرمنوع محصول: کود کامل شیمیاییترکیب اصلی: ازت (20٪) فسفر (20٪) پتاسیم (20٪),,2500000,250000.0,10.0,True,
کود فروت ست برند ست گلد شرکت ردسا اسپانیایی 1 لیتری | گلدهی و تامین روی,,7500000,7500000.0,1.0,True,
هیومیک اسید مایع مدریک 20 لیتری,,1800000,90000.0,20.0,True,
کود سه 20 مایع تری پرو فارمونتی NPK 20 20 20+TE - 10 لیتری,,3000000,300000.0,10.0,True,
کود ماهی مایع رستان 5 و 20 لیتری | کود ارگانیک,,1050000,52500.0,20.0,True,
کود اسید انفوریک مایع مگافرتیل ان اس 10 لیتری سبز محصول داتیس,,540000,54000.0,10.0,True,
کود فروت ست 1 لیتری سبوسیب,,650000,650000.0,1.0,True,
کود آهن سکوسترن سینجنتا 1 کیلوگرم,,1190000,1190000.0,1.0,True,
ضد آفتاب سوختگی شید 10 لیتری فرمولایف,,1100000,110000.0,10.0,True,
گوگرد مایع پتاسه 5 لیتری 5 ستاره ساوه,,1200000,240000.0,5.0,True,
کود سولفات آهن کنجاله ساز (25 کیلویی),,580000,23200.0,25.0,True,
کود NPK 20-20-20 (10کیلو),,1200000,120000.0,10.0,True,
کود آمینواسید شوک 80 درصد اصل 20 لیتری آمریکایی (ضد سرمازدگی),,2900000,145000.0,20.0,True,
سولفونیت 1 لیتری,,155000,155000.0,1.0,True,
سوپر جاذب کشاورزی (10 کیلوئی) - افزایش 20% عملکر محصول,,4850000,485000.0,10.0,True,
کنه کش پروپارژیت مشکفام 1 لیتر,,992000,992000.0,1.0,True,
کود Flower Set – بهینه سازی گلدهی 1لیتری,,395000,395000.0,1.0,True,
کود سولفات منیزیم 24% وپروفرت هلند 1 کیلویی,,95000,95000.0,1.0,True,
کود بایو هون بایوبیز 10 لیتری,,50050000,5005000.0,10.0,True,
کات کبود (سولفات مس شکری)10کیلو گرم,,2460000,246000.0,10.0,True,
مویان (صابون محلول پاشی گوگردی) 20 لیتری,,1800000,90000.0,20.0,True,
لامباداسای هالوترین(آماج) 0/5لیتری,,480000,96000.0,5.0,True,
کود ترن 46 (اوره 46%) اگری ترن کیسه 25 کیلویی,,1700000,68000.0,25.0,True,
کود آلی روی و بور (فروت ست) کیلیترین 1 لیتری - 10,,7500000,7500000.0,1.0,True,
کود مایع نیترات کلسیم ریچ فرت داتیس سطل 20 لیتری,,1850000,92500.0,20.0,True,
کود سولفات روی کنجاله ساز (25 کیلویی),,3480000,139200.0,25.0,True,
کود مایع مرغ و ماهی ویژه زعفران 20 لیتری آرگومیکس,,1600000,80000.0,20.0,True,
کود اسپانیایی ریز مغذی سه گانه آهن روی منگنز 1 لیتری,,7500000,7500000.0,1.0,True,
صابون محلول پاشی لپیدیوم 0/5 لیتری,,60000,12000.0,5.0,True,
پوکه لیکا - کیسه 30 کیلویی,,20200000,673333.3333333334,30.0,True,
کلسیم بور جوسپال (1لیتری),,1000000,1000000.0,1.0,True,
کوکوچیپیس 3 لیتری,,58000,19333.33333333333,3.0,True,
کود ریشه زایی کدامین رادیکولار (Codamin Radicular) 1 لیتری,,745000,745000.0,1.0,True,
کود اسید هیومیک پوهوموس آلمانی 1 کیلویی POWHUMUS,,1347000,1347000.0,1.0,True,
گوگرد مایع ارگانو سولفور گرواستار 0.5 1 5 و 20 لیتری,,266291,13314.55,20.0,True,
کود پتاس بالا 27-9-18 کوالی فرت ترکیه 15 کیلوگرم,,6000000,400000.0,15.0,True,
سیلیکات پتاسیم سیترال (1 لیتری),,350000,350000.0,1.0,True,
سوپرفیوتاپ فیوچرکو (1 لیتری),,1200000,1200000.0,1.0,True,
پتاسیم مایع کالرمکس (1 لیتری),,600000,600000.0,1.0,True,
بیورادیکانت فیوچرکو (1 لیتری),,1400000,1400000.0,1.0,True,
سیلیکات پتاسیم پروسیل (1 لیتری),,500000,500000.0,1.0,True,
گوگرد پودری میکرونیزه فلات کالا مدل GPM1K وزن 1 کیلوگرم,,76000,76000.0,1.0,True,
هیومیک اسید 5 لیتری رویش(زیست فناور سبز),,550000,110000.0,5.0,True,
کود فسفر پتاسیم مایع 1لیتری,,900000,900000.0,1.0,True,
کود مایع مرغی غنی شده لارا چیکو 20 لیتری,,1504000,75200.0,20.0,True,
کود مایع کلاته منگنز 8% منگارد فارمونتی Mangard Pharmonti Mn EDTA - 1 لیتری,,270000,270000.0,1.0,True,
کود سولفات منگنز کنجاله ساز (25 کیلویی),,2820000,112800.0,25.0,True,
کود مرغی شوک اصل آمریکایی - 20 لیتری,,1697000,84850.0,20.0,True,
کود کلاته کلسیم-بور-روی مایع کلبومکس فارمونتی CalboMax Pharmonti - 10 لیتری,,1640000,164000.0,10.0,True,
کود فسفر(10-52-10) - 1کیلویی رنیور,,350000,350000.0,1.0,True,
کود کشاورزی کلسیم منیزیم برند زایز Zeiz انگلستان حجم 1 لیتری,,1050000,1050000.0,1.0,True,
کود گروول ماسو اسپانیا 1 کیلوگرمی,,2000000,2000000.0,1.0,True,
هیومیک اسید - 1کیلویی روسیه,,450000,450000.0,1.0,True,
گوگرد مایع پتاسه 40% گوگر 20% پتاسیم 5 لیتری,,880000,176000.0,5.0,True,
نیترات کلسیم وارداتی گرانول مولتی کم – 50 کیلوگرم,,7500000,150000.0,50.0,True,
کود فسفر بالا 10-52-10 آرمان سبز آدینه 10 کیلوگرم,,2300000,230000.0,10.0,True,
کود اوره فسفات (NP 18-44) فلوریش 10 کیلو,,1910000,191000.0,10.0,True,
کود تقویتی NPK پودری 18-44-0+TE ملی شیمی کشاورز 10کیلوگرم کیسه,,2850000,285000.0,10.0,True,
کود مایع مرغی پرونایس (20 لیتری),,1000000,50000.0,20.0,True,
کود مایع فسفر و پتاسیم بالا زایز انگلستان مدل fertizeiz PK حجم 1 لیتر,,1310000,1310000.0,1.0,True,
کود آلی مایع روت هیلر مخصوص زعفران 10 کیلوگرمی هزارگل,,1340000,134000.0,10.0,True,
کود هیدروپونیک آتنا بالانس (1لیتری),,150000,150000.0,1.0,True,
کود هیومیک اسید پرک آوا فرایند وزن 1 کیلو گرم,,230000,230000.0,1.0,True,
کود سولفات پتاسیم دامافارم 10 کیلویی,,1050000,105000.0,10.0,True,
کود مایع (مونو آمونیوم فسفات) فوسپامید فارمونتی (MAP) Phospamid Pharmonti NPK 8 34 0 - 5 لیتری,,1540000,308000.0,5.0,True,
کود کامل گرانوله 5-5-5 وپروفرت 25 کیلویی,,1305000,52200.0,25.0,True,
بردوفیکس - 1لیتری,,230000,230000.0,1.0,True,
اسید هیومیک پایش سبز 1 کیلویی,,450000,450000.0,1.0,True,
کود ریشه زایی رایکت روتینگ(Raykat Rooting) آتلانتیکا اسپانیا 1لیتری,,1550000,1550000.0,1.0,True,
گوگرد مایع پتاسه 40% گوگر 20% پتاسیم 5 10 20 لیتری - 5,,800000,40000.0,20.0,True,
کود پلت مرغی 25 کیلوگرمی,,170000,6800.0,25.0,True,
کود مایع طبیعی کرسر مدل فولکس حجم 1 لیتر,,300000,300000.0,1.0,True,
کود هیومیک اسید مجیک مدل پودری وزن 1 کیلوگرم,,229000,229000.0,1.0,True,
کود سولفات منیزیم کنجاله ساز (25 کیلویی),,580000,23200.0,25.0,True,
سولفات آمونیوم فلات کالا کد SAP4KG وزن 4 کیلوگرم,,177000,44250.0,4.0,True,
کود مایع کامل اکتیو پلاس فارمونتی 16 عنصر (Active Plus Pharmonti (NPK10 5 5 - 10 لیتری,,1875000,187500.0,10.0,True,
سه بیست(20-20-20) - 10کیلویی ترافارم ترکیه,,2750000,275000.0,10.0,True,
صابون محلول پاشی لپیدیم 1 لیتری,,100000,100000.0,1.0,True,
کود کلسیم سوسپانسیون و میکرونیزه آریا 1 لیتری,,290000,290000.0,1.0,True,
فسفیت پتاسیم (کوئین) سبزگل 1 لیتری,,780000,780000.0,1.0,True,
میکرومیکس 1 کیلوگرمی فلوریش,,440000,440000.0,1.0,True,
کود مایع زینک (زینکارب) روی 1 لیتری,,394000,394000.0,1.0,True,
کود هیدروپونیک کاهو (1لیتری),,350000,350000.0,1.0,True,
کود محرک رشد - 1 لیتری,,499000,499000.0,1.0,True,
اسید آمینه کیلیترین 1 لیتری - 1,,1000000,1000000.0,1.0,True,
کوکوپیت 4لیتری سریلانکایی,,55000,13750.0,4.0,True,
روغن سبزه مهان (10لیتری),,1520000,152000.0,10.0,True,
کود تقویتی NPK پودری 12-12-36 + TE ملی شیمی کشاورز 10 کیلوگرم کیسه,,2200000,220000.0,10.0,True,
کود مایع طبیعی کرسر مدل فولکس حجم 1 لیتر بسته ی 2 عددی,,594000,594000.0,1.0,True,
گابری هیومیک مایع (اسید هیومیک + فولیک)(20لیتری),,8795800,439790.0,20.0,True,
کمپوست سلولزی کیسه 60 لیتری,,165000,2750.0,60.0,True,
کود هیومیک اسید آوا فرایند وزن 5 کیلوگرم,,1000000,200000.0,5.0,True,
کود ارگانیک فراکتون کیمیتک اسپانیا 1 کیلویی,,2270000,2270000.0,1.0,True,
هیومیک اسید 5 لیتری رویش زیست فناور سبز,,580000,116000.0,5.0,True,
کود مایع کلاته روی 8% زینک پلکس فارمونتی ZinkPlex Pharmonti Zn - 1 لیتری,,210000,210000.0,1.0,True,
پروتئین هیدرولیز آن مدلور سبزاور 1 لیتری,,169000,169000.0,1.0,True,
لیکاپون(پوکه کشاورزی لیکا) 5 لیتری - ریز,,60000,12000.0,5.0,True,
کود وکسال آسکوفول کلسیم 1 لیتری وارداتی آلمان,,1200000,1200000.0,1.0,True,
کود آلی اوره فسفات (NP) کیلیترین 1 لیتری - 5,,3250000,3250000.0,1.0,True,
فروتست گرومور 1 کیلوگرمی,,1640000,1640000.0,1.0,True,
کود مایع (مونو آمونیوم فسفات) فوسپامید فارمونتی (MAP) Phospamid Pharmonti NPK 8 34 0 - 10 لیتری,,3000000,300000.0,10.0,True,
کود تقویتی ریزمغذی نوترازورب NUTRAZORB پودر مور کراپ more crop آمریکا 1 کیلوگرم فویل,,1855000,1855000.0,1.0,True,
کود جلبک دریایی پودر حاصلخیز 1 کیلویی با فناوری X-green,,700000,700000.0,1.0,True,
کود هیومیک اسید 20 لیتری,,5480000,274000.0,20.0,True,
گوگرد مایع پارس خوشه 10 لیتری,,660000,66000.0,10.0,True,
کود مرغی بیومیکس 10 لیتری,,650000,65000.0,10.0,True,
اوره فسفات اگریفرت مکزیک 25 کیلوگرم,,7000000,280000.0,25.0,True,
ورمی کولیت 2 لیتری دانه درشت(نقره ای),,105000,52500.0,2.0,True,
فروت مکس (فروت ست) اروپایی شرکت رویش سبز 1 لیتری,,700000,700000.0,1.0,True,
کود آلی فسفر (P) کیلیترین 1 لیتری - 20,,14000000,14000000.0,1.0,True,
حجم: 1 کیلوگرم مناسب برای: انواع محصولات کشاورزی (زراعی باغی گلخانه‌ای و...) نوع کود: پودری ویژگی‌ها: قابل استفاده به صورت محلول‌پاشی (برگ‌پاشی),,780000,780000.0,1.0,True,
گلایفوزیت (رانداپ) فاراد 1 لیتری,,440000,440000.0,1.0,True,
کود تقویتی امینو اسید پاور گرو پودر مور کراپ 1 کیلوگرم پاکت,,1250000,1250000.0,1.0,True,
کود آمینواسید استرس لس پرو ماسو 1کیلویی (پس کرایه),,1793125,1793125.0,1.0,True,
کود کامل 202020 حاصلخیز 5 کیلو گرمی با فناوری XGREEN,,1900000,380000.0,5.0,True,
کود مونوامونیوم فسفات (61-12) فلوریش 10 کیلو,,1870000,187000.0,10.0,True,
پرلیت 15 لیتری,,90000,6000.0,15.0,True,
کود مایع ریشه زا بیورادیکانت حجم 1 لیتر,,1620000,1620000.0,1.0,True,
ورمی کولیت باغبان 4 کیلویی,,400000,100000.0,4.0,True,
فسفیت پتاسیم اسپانیا 1 لیتری آرتاگرو,,782800,782800.0,1.0,True,
کود هیومیک اسید پرک 60% ریشه زای وپروفرت هلند 1 کیلویی,,730000,730000.0,1.0,True,
مویان (صابون محلول پاشی گوگردی) 4 لیتری,,500000,125000.0,4.0,True,
هیومیک اسید رستان حجم 5 لیتر,,350000,70000.0,5.0,True,
کود سه بیست حاصلخیز 1 کیلوگرمی با فناوری XGREEN,,500000,500000.0,1.0,True,
ورمی کمپوست 4لیتری,,85000,21250.0,4.0,True,
کود هیومیک اسید و فولویک اسید پودری جنوبگان مدل هیومیسول وزن 1 کیلوگرم,,270000,270000.0,1.0,True,
مایع سوسک کش شو 1 لیتر,,48000,48000.0,1.0,True,
مونو پتاسیم فسفات چینی 25 کیلوگرم | Monopotassium phosphate,,7500000,300000.0,25.0,True,
کود تقویتی چالکود نووانات گرانول K+S آلمان 25کیلوگرم کیسه,,3350000,134000.0,25.0,True,
کود مایع زعفران و پسته زاپستو فارمونتی NPK 6 6 18 +TE Zapesto - 20 لیتری,,5100000,255000.0,20.0,True,
