,url,name,category,price,price_per_kg,amount_kg,last_price_update,is_available,product_menu_url,_pk
2596,https://basalam.com/simazaar/product/10116134,بولاغ اوتی با کیفیت عالی، بار امسالی و تازه(750 گرمی ),,521500,695333.333333333,0.75,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/10116134::بولاغ اوتی با کیفیت عالی، بار امسالی و تازه(750 گرمی )
2597,https://basalam.com/simazaar/product/17532862,برگ توت، بار امسالی و تازه(50گرمی),,39575,791500,0.05,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/17532862::برگ توت، بار امسالی و تازه(50گرمی)
2598,https://basalam.com/simazaar/product/10065230,گیاه مورد با کیفیت عالی، بار امسالی و تازه(250گرمی ),,109250,437000,0.25,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=53,https://basalam.com/simazaar/product/10065230::گیاه مورد با کیفیت عالی، بار امسالی و تازه(250گرمی )
2599,https://basalam.com/simazaar/product/9861496,گیاه شاهتره با کیفیت عالی، بار امسالی و تازه(50گرمی),,41750,835000,0.05,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=53,https://basalam.com/simazaar/product/9861496::گیاه شاهتره با کیفیت عالی، بار امسالی و تازه(50گرمی)
2600,https://basalam.com/simazaar/product/10063331,گیاه نعناع فلفلی بار امسالی و تازه(750گرمی ),,694750,926333.333333333,0.75,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=53,https://basalam.com/simazaar/product/10063331::گیاه نعناع فلفلی بار امسالی و تازه(750گرمی )
2601,https://basalam.com/simazaar/product/9860964,گیاه شوید با کیفیت عالی، بار امسالی و تازه(50گرمی),,68150,1363000,0.05,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/9860964::گیاه شوید با کیفیت عالی، بار امسالی و تازه(50گرمی)
2602,https://basalam.com/simazaar/product/9879351,گیاه زوفا با کیفیت عالی، بار امسالی و تازه(100گرمی),,163400,1634000,0.1,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/9879351::گیاه زوفا با کیفیت عالی، بار امسالی و تازه(100گرمی)
2603,https://basalam.com/simazaar/product/17515295,گیاه دم گیلاس پودرشده با کیفیت عالی، بار امسالی و تازه(100گرمی),,91500,915000,0.1,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/17515295::گیاه دم گیلاس پودرشده با کیفیت عالی، بار امسالی و تازه(100گرمی)
2604,https://basalam.com/simazaar/product/17532866,برگ توت پودرشده، بار امسالی و تازه(100گرمی),,60150,601500,0.1,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/17532866::برگ توت پودرشده، بار امسالی و تازه(100گرمی)
2605,https://basalam.com/simazaar/product/9855360,گیاه مریم گلی با کیفیت عالی، بار امسالی و تازه(100گرمی),,97400,974000,0.1,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/9855360::گیاه مریم گلی با کیفیت عالی، بار امسالی و تازه(100گرمی)
